Publication Number,Title,Label
WO2016016549A1,Motor vehicle front surface air guide comprising mechanical weakness areas,Non-Autonomous Vehicles
WO2016016548A1,"Individual, universal, removable, load-bearing pallet for car-carrying vehicle",Non-Autonomous Vehicles
WO2016016530A2,Method and system for controlling a reversible dc-dc converter of a motor vehicle,Non-Autonomous Vehicles
WO2016016529A1,Charger and method for charging the battery of an electric or hybrid motor vehicle with a doubly salient variable reluctance machine,Non-Autonomous Vehicles
WO2016016524A1,Method and device for charging a battery of a motor vehicle depending on the impedance of a power supply network and motor vehicle provided with such a charging device,Non-Autonomous Vehicles
WO2016016523A1,Device for a motor vehicle automatic gearbox,Non-Autonomous Vehicles
WO2016016483A1,Passenger vehicle,Non-Autonomous Vehicles
WO2016016371A1,"Transmission arrangement for a hybrid motor vehicle, and hybrid motor vehicle",Non-Autonomous Vehicles
WO2016016354A1,Longitudinal support device for supporting a front engine in a motor vehicle,Non-Autonomous Vehicles
WO2016016175A1,Light module for lighting and/or signalling for motor vehicles,Non-Autonomous Vehicles
WO2016016050A1,Method for operating a light function of motor-vehicle headlamps and motor vehicle having a display device and an operating element for operating the light function of the motor-vehicle headlamps,Non-Autonomous Vehicles
WO2016016029A1,Furnishing item for a vehicle as well as a vehicle with such a furnishing item,Non-Autonomous Vehicles
WO2016015959A1,Modular battery system and electrically driven two-wheeled vehicle having such a battery system,Non-Autonomous Vehicles
WO2016015954A1,Device for monitoring a high-voltage on-board power supply system of an electrically operated vehicle for the occurrence of overloading,Non-Autonomous Vehicles
WO2016015938A1,Enhanced blind spot detection for vehicle with trailer,Non-Autonomous Vehicles
WO2016015883A1,Electrical ribbon conductor for motor vehicles,Non-Autonomous Vehicles
CN103661108B,A kind of automobile rearview camera and assemble method thereof,Non-Autonomous Vehicles
CN103660999B,Two-wheeled inverted pendulum vehicle and control method thereof,Non-Autonomous Vehicles
CN103625385B,A kind of car body and vehicle door trim panel structure thereof,Non-Autonomous Vehicles
CN103619658B,Comprise the vehicle occupant restraint system of comformability knee air bag and the method for the protection of automotive occupant,Non-Autonomous Vehicles
CN103582582B,Vehicle luminescent control system,Non-Autonomous Vehicles
CN103569205B,A kind of body structure of Operation Van,Non-Autonomous Vehicles
CN103538517B,Vehicle light control device,Non-Autonomous Vehicles
CN103522976B,There is the vehicle seat side air bag component of external rigidity deflector sleeve,Non-Autonomous Vehicles
CN103503198B,"Storage battery, its manufacture method and carried the motor vehicle of storage battery",Non-Autonomous Vehicles
CN103502062B,Side air bag device for vehicle,Non-Autonomous Vehicles
CN103502038B,For having the system of carrying out Anti-slip regulation control of the vehicle of electronic vehicle drive unit,Non-Autonomous Vehicles
CN103476656B,The method of hybrid electric vehicle and control hybrid electric vehicle,Non-Autonomous Vehicles
CN103476614B,Back structure of vehicle body,Non-Autonomous Vehicles
CN103465848B,A kind of voltage order one distribution equipment on hybrid electric vehicle,Non-Autonomous Vehicles
CN103380041B,For controlling method and the self-propelled vehicle of recyclability in a motor vehicle,Non-Autonomous Vehicles
CN103338959B,The control setup of motor vehicle driven by mixed power,Non-Autonomous Vehicles
CN103287342B,A kind of Automobile rearview mirror intelligent control device,Non-Autonomous Vehicles
CN103287284B,The method of elec. vehicle and control elec. vehicle,Non-Autonomous Vehicles
CN103253204B,The manufacture method of vehicle-used interior decoration material and vehicle-used interior decoration material,Non-Autonomous Vehicles
CN103249623B,For controlling the method for hybrid vehicle and being suitable for the hybrid vehicle of the method,Non-Autonomous Vehicles
CN103249588B,Information of vehicles sending set,Non-Autonomous Vehicles
CN103213504B,A kind of electronlmobil continual mileage evaluation method,Non-Autonomous Vehicles
CN103201927B,The power-supply system of vehicle and possess the vehicle of this power-supply system,Non-Autonomous Vehicles
CN103182993B,A kind of automobile wood-plastic material structural part,Non-Autonomous Vehicles
CN103167965B,For the cover plate system of vehicle grille,Non-Autonomous Vehicles
CN103153691B,The method and system that guideway vehicle reconfigures,Non-Autonomous Vehicles
CN103119356B,Lamps apparatus for vehicle,Non-Autonomous Vehicles
CN103079934B,The steering swivel system of motor car,Non-Autonomous Vehicles
CN103010129B,"A kind of vehicle trunk automatic opening system, vehicle and method",Non-Autonomous Vehicles
CN102975652B,Vehicle headlamp apparatus and headlight for automobile control system,Non-Autonomous Vehicles
CN102906959B,For the charging system of motor vehicle,Non-Autonomous Vehicles
CN102869527B,The additional closed-center system charge control method of ultralight hybrid car and use the system of the method,Non-Autonomous Vehicles
CN102848944B,Child restrainnt system and the vehicle comprising this child restrainnt system,Non-Autonomous Vehicles
CN102664441B,The power supply on vehicle system of battery unit integrated circuit and use said integrated circuit,Non-Autonomous Vehicles
CN102476584B,For controlling the apparatus and method of the engine restarting of vehicle,Non-Autonomous Vehicles
CN102455203B,For the wireless fuel level sensor of vehicle fuel tank,Non-Autonomous Vehicles
CN102419242B,For the apparatus and method of testing vehicle air bag control unit,Non-Autonomous Vehicles
CN102414067B,"For the method and apparatus of operational vehicle, particularly motor vehicle driven by mixed power",Non-Autonomous Vehicles
CN102384256B,For shift control and the gear-shifting control method of motor vehicle driven by mixed power,Non-Autonomous Vehicles
CN102027708B,Implement remote control system and the method for the haptic technology for controlling rolling stock,Non-Autonomous Vehicles
CN101995662B,For the projection display equipment of vehicle,Non-Autonomous Vehicles
CN101712274B,Hybrid electric vehicle,Non-Autonomous Vehicles
CN104773061B,"Change-speed box, Power Train are unified vehicle",Non-Autonomous Vehicles
CN104691400B,"Car bulb ambient humidity, light and temperature control system",Non-Autonomous Vehicles
CN104582986B,Be equipped on the one-piece type forceful electric power unit on elec. vehicle,Non-Autonomous Vehicles
CN104249668B,A kind of mounting structure of fuse box of automotive electrical appliance,Non-Autonomous Vehicles
CN104163031B,The manufacture method of automotive interior roof,Non-Autonomous Vehicles
CN104118361B,Automobile glove box locking device,Non-Autonomous Vehicles
CN104044474B,Combination type solar turnover panel actuating device and solar electric vehicle,Non-Autonomous Vehicles
CN104029645B,Realize the vehicle remote control apparatus of low-power consumption and the control method of this system,Non-Autonomous Vehicles
EP2822746B1,Method of manufacturing a piece of automotive vehicle equipment and associated piece of equipment,Non-Autonomous Vehicles
EP2805850B1,Vehicle seat,Non-Autonomous Vehicles
EP2803905B1,Motor vehicle lighting device with a fibre optic assembly,Non-Autonomous Vehicles
EP2803568B1,Adaptive decorative trim assemblies for vehicle cabin interiors,Non-Autonomous Vehicles
EP2775197B1,Lighting and/or signalling device for a motor vehicle comprising a light guide,Non-Autonomous Vehicles
EP2586678B1,Vehicle travel control device,Non-Autonomous Vehicles
EP2512840B1,Bumper for a vehicle,Non-Autonomous Vehicles
EP2465134B1,Halogen bulb for vehicle headlights,Non-Autonomous Vehicles
EP2399764B1,Coupling device for an agricultural towing vehicle,Non-Autonomous Vehicles
EP2298601B1,Vehicle headlamp system,Non-Autonomous Vehicles
EP2099654B1,Electric vehicle motion sensor,Non-Autonomous Vehicles
EP2054246B1,A bumper beam for a vehicle,Non-Autonomous Vehicles
EP1849938B1,"Geared locking device for a sliding panel, corresponding blocking device and automobile.",Non-Autonomous Vehicles
EP1728163B1,Communication system for a motor vehicle,Non-Autonomous Vehicles
EP1587036B8,Device for recording drive and journey data of motor vehicles,Non-Autonomous Vehicles
EP2777968B1,Motor vehicle with plug in charging device,Non-Autonomous Vehicles
EP2734392B1,Device for closing an opening a motor vehicle front end,Non-Autonomous Vehicles
EP2724902B1,Vehicle anti-theft device,Non-Autonomous Vehicles
EP2675688B1,Method for operating a rail vehicle,Non-Autonomous Vehicles
EP2634043B1,Commercial vehicle superstructure and commercial vehicle equipped with the same,Non-Autonomous Vehicles
EP2631138B1,"Engine start control device, hybrid vehicle and engine start method, and program",Non-Autonomous Vehicles
EP2631134B1,"Output restriction control device, hybrid automobile, output restriction control method, and program",Non-Autonomous Vehicles
EP2564684B1,Electric working vehicle,Non-Autonomous Vehicles
EP2560839B1,Protection panel to be fixed on a part of the body of a motor vehicle and vehicle equipped with such a panel.,Non-Autonomous Vehicles
EP2557745B1,"Vehicle, communication system, and communication device",Non-Autonomous Vehicles
EP2489555B1,Forgery-proof vehicle identification plate with a stamped/encapsulated hologram,Non-Autonomous Vehicles
EP2407361B1,Master cylinder device for a car,Non-Autonomous Vehicles
EP2285611B1,Cabriolet vehicle comprising a rooflining,Non-Autonomous Vehicles
EP2265482B1,Vehicle parking assist system and method,Non-Autonomous Vehicles
EP2186680B1,Light for vehicles,Non-Autonomous Vehicles
EP2134571B1,Load carrier for a motor vehicle,Non-Autonomous Vehicles
EP2113410B1,Vehicle charge system,Non-Autonomous Vehicles
EP1983106B1,Self-propelled construction vehicle,Non-Autonomous Vehicles
EP2915922B1,Method for operating a vehicle barrier,Non-Autonomous Vehicles
EP2841296B1,Connection system for charging an electric vehicle,Non-Autonomous Vehicles
EP2828724B1,Method for operating an operating device of a motor vehicle,Non-Autonomous Vehicles
EP2828119B1,Contactless charging method of an electric vehicle battery,Non-Autonomous Vehicles
EP2796320B1,Motor vehicle headlamp,Non-Autonomous Vehicles
EP2792920B1,Clamp for fixing a hose or tube to a motor vehicle,Non-Autonomous Vehicles
EP2786028B1,"Vehicle element, and attachment assembly therefor",Non-Autonomous Vehicles
EP2774245B1,Providing a vehicle with electric energy using a receiving device adapted to receive an alternating electromagnetic field,Non-Autonomous Vehicles
CN103875025B,For running the method for authorization device for entering and start vehicle without key,Non-Autonomous Vehicles
EP2694331B1,Method and monitoring system for adjusting at least one exterior rear-view mirror of a motor vehicle,Non-Autonomous Vehicles
EP2664528B1,Inverted pendulum type vehicle,Non-Autonomous Vehicles
EP2656466B1,Method and device for controlling an adjusting device of a motor vehicle,Non-Autonomous Vehicles
EP2599698B1,Straddle type vehicle,Non-Autonomous Vehicles
EP2599697B1,Straddle type vehicle,Non-Autonomous Vehicles
EP2596966B1,Hitching assembly for a towing motor vehicle,Non-Autonomous Vehicles
EP2591926B1,Connecting apparatus for towing vehicles,Non-Autonomous Vehicles
EP2559574B1,Electric heater apparatus for electric vehicle and method of controlling the same,Non-Autonomous Vehicles
EP2543526B1,Cover for a device extending from an extension on the front or rear side of a motor vehicle,Non-Autonomous Vehicles
EP1958836B1,Parallel hybrid drive train in a motor vehicle and method for controlling a parallel hybrid drive train,Non-Autonomous Vehicles
EP2644439B1,Two-wheeled electric vehicle,Non-Autonomous Vehicles
EP2641300B1,Connector device and connector assembly for vehicle electrical power supply,Non-Autonomous Vehicles
EP2593337B1,"Method for protecting a vehicle occupant, control unit for activating an actuator system for protecting a vehicle occupant and system with a control unit of this type and a corresponding actuator system",Non-Autonomous Vehicles
EP2572944B1,Curtain air bag device and vehicle,Non-Autonomous Vehicles
EP2527200B1,Lighting device of storage compartment for scooter type vehicles,Non-Autonomous Vehicles
EP2517281B1,Device for removably attaching a battery of a motor vehicle,Non-Autonomous Vehicles
EP2502036B1,Optical sensing device for detecting ambient light in motor vehicles,Non-Autonomous Vehicles
EP2487073B1,Vehicle interior material,Non-Autonomous Vehicles
EP2481635B1,Motor vehicle light,Non-Autonomous Vehicles
EP2430321B1,"Device for attaching a first part to a second part which is attached to a third part and the assembly of three parts, in particular, of a motor vehicle",Non-Autonomous Vehicles
EP2349797B1,Method for adjusting a brake system of a vehicle,Non-Autonomous Vehicles
EP2343214B1,Retractable room actuation assembly for recreational vehicle,Non-Autonomous Vehicles
EP2327612B1,Vehicle for the automatic inspection of inner spaces with restricted access,Non-Autonomous Vehicles
EP2292946B1,"Cycloidal speed reducer, in-wheel motor device, and vehicle motor drive device",Non-Autonomous Vehicles
EP2826678B1,Activation unit for a securing system of a motor vehicle,Non-Autonomous Vehicles
CN104285047B,Working truck and wheel loader,Non-Autonomous Vehicles
EP2785552B1,Axle drive arrangement for vehicles,Non-Autonomous Vehicles
EP2782787B1,Center console for vehicle and method for producing same,Non-Autonomous Vehicles
EP2724920B1,Vehicle anti-theft device,Non-Autonomous Vehicles
EP2707254B1,Vehicle body structure,Non-Autonomous Vehicles
EP2684729B1,Contact arrangement for safe disconnection of a power supply in a vehicle,Non-Autonomous Vehicles
EP2641723B1,Method for patterning protective film for vehicle and method for manufacturing protective film for vehicle,Non-Autonomous Vehicles
EP2621759B1,A polymeric crash box for a vehicle and bumper structure,Non-Autonomous Vehicles
EP2598380B1,A polymeric crash box for a vehicle,Non-Autonomous Vehicles
EP2586639B1,Fuel tank for vehicle,Non-Autonomous Vehicles
EP2578475B1,Body structure of vehicle,Non-Autonomous Vehicles
EP2550173B1,Method for examining a state of a circuit of a motor vehicle,Non-Autonomous Vehicles
EP2497669B1,Manual control device for an electric vehicle,Non-Autonomous Vehicles
US9265100B2,Driving circuit of semiconductor-type light source for vehicle lighting device and a vehicle lighting device,Non-Autonomous Vehicles
US9264790B2,Tray moving mechanism and in-vehicle audio apparatus,Non-Autonomous Vehicles
US9264673B2,Vehicle vision system with enhanced functionality,Non-Autonomous Vehicles
US9264672B2,Vision display system for vehicle,Non-Autonomous Vehicles
US9263975B2,Motor control system and control system for electric motor-driven vehicle,Non-Autonomous Vehicles
US9263778B2,Electric vehicle running control system,Non-Autonomous Vehicles
US9263744B2,"Active material, electrode, secondary battery, battery pack, electric vehicle, electric power storage system, electric power tool, and electronic apparatus",Non-Autonomous Vehicles
US9263208B2,"Tactile-surface control module, in particular for a motor vehicle",Non-Autonomous Vehicles
US9262925B2,Vehicle display apparatus,Non-Autonomous Vehicles
US9262920B2,Methods and devices for outputting information in a motor vehicle,Non-Autonomous Vehicles
US9262817B2,Environment estimation apparatus and vehicle control system,Non-Autonomous Vehicles
EP1421460B1,Method for providing software to be used by a control unit of a vehicle,Non-Autonomous Vehicles
US9261988B2,Operator control apparatus in a motor vehicle,Non-Autonomous Vehicles
US9261259B2,Laser-beam utilization device and vehicle headlight,Non-Autonomous Vehicles
US9261035B2,Industrial vehicle,Non-Autonomous Vehicles
CN103354991B,Vehicle communication network,Non-Autonomous Vehicles
US9257926B2,Method and control system for controlling mobility vehicles,Non-Autonomous Vehicles
US9257918B2,Vehicle window opening and closing control device,Non-Autonomous Vehicles
US9257867B2,Vehicle,Non-Autonomous Vehicles
US9257832B2,Resettable circuit protection system and vehicle with same,Non-Autonomous Vehicles
US9646356B1,Self-driving vehicle systems and methods,Autonomous Vehicles
US9645576B2,Apparatus for controlling a land vehicle which is self-driving or partially self-driving,Autonomous Vehicles
US9622452B2,Unmanned vehicle comprising a protection device,Autonomous Vehicles
US9599482B2,Method and central processing unit for the unmanned control of a vehicle,Autonomous Vehicles
US9598078B2,Alerting predicted accidents between driverless cars,Autonomous Vehicles
US9586661B1,Unmanned underwater vehicle sea floor separation device,Autonomous Vehicles
US20170088145A1,Controlling Driving Modes of Self-Driving Vehicles,Autonomous Vehicles
US9532545B2,Unmanned cleaning vehicle,Autonomous Vehicles
US9517821B2,Recovery systems and methods for unmanned underwater vehicles,Autonomous Vehicles
US9483948B1,Automated control of interactions between self-driving vehicles and pedestrians,Autonomous Vehicles
US9481367B1,Automated control of interactions between self-driving vehicles and animals,Autonomous Vehicles
US9481366B1,Automated control of interactions between self-driving vehicles and animals,Autonomous Vehicles
US9475193B2,Unmanned ground vehicle stability control,Autonomous Vehicles
US9449142B2,System and method for modeling supervisory control of heterogeneous unmanned vehicles through discrete event simulation,Autonomous Vehicles
US9389611B2,Adaptative platform for unmanned defense vehicles,Autonomous Vehicles
US9377315B2,System and method to provide valet instructions for a self-driving vehicle,Autonomous Vehicles
US20160257311A1,Robotic vehicle control,Autonomous Vehicles
US9360867B2,Apparatus and method for controlling driving device of self-driving vehicle,Autonomous Vehicles
US9258942B2,Method for processing a surface by means of a robotic vehicle,Autonomous Vehicles
US9254870B2,"Method of generating optimum parking path of unmanned driving vehicle, and unmanned driving vehicle adopting the method",Autonomous Vehicles
US9239959B1,"Multi-resolution, wide field-of-view, unmanned ground vehicle navigation sensor",Autonomous Vehicles
US20170137078A1,Robotic vehicle,Autonomous Vehicles
US20170132708A1,Dynamically adjusting insurance policy parameters for a self-driving vehicle,Autonomous Vehicles
CN106671979A,Autonomous vehicle control apparatus and method,Autonomous Vehicles
US20170124658A1,Automated Insurance Toggling for Self-Driving Vehicles,Autonomous Vehicles
US20170113768A1,Subsea Hosting of Unmanned Underwater Vehicles,Autonomous Vehicles
US20170113689A1,Controlling Driving Modes of Self-Driving Vehicles,Autonomous Vehicles
US20170113687A1,Controlling Spacing of Self-Driving Vehicles Based on Social Network Relationships,Autonomous Vehicles
US20170106976A1,Unmanned air vehicle and flight control method,Autonomous Vehicles
US20170106876A1,Controlling Driving Modes of Self-Driving Vehicles,Autonomous Vehicles
CN106570451A,Self-recognition of autonomous vehicles in mirrored or reflective surfaces,Autonomous Vehicles
US20170088242A1,Unmanned Underwater Vehicle with Variable-Geometry Hull,Autonomous Vehicles
US20170075358A1,"Self-driving car scheduling method, car scheduling server, and self-driving car",Autonomous Vehicles
CN106485340A,The dispatch system of automatic driving vehicle,Autonomous Vehicles
US20170057516A1,Redirecting Self-Driving Vehicles to a Product Provider Based on Physiological States of Occupants of the Self-Driving Vehicles,Autonomous Vehicles
US20170057507A1,Automated Spatial Separation of Self-Driving Vehicles From Other Vehicles Based on Occupant Preferences,Autonomous Vehicles
US20170050638A1,Automated Spatial Separation of Self-Driving Vehicles From Manually Operated Vehicles,Autonomous Vehicles
US20170046883A1,Automatic Toll Booth Interaction with Self-Driving Vehicles,Autonomous Vehicles
EP3080672A2,Driver-free transport vehicle for the transportation of heavy loads on carriages and method for operating the transport vehicle,Autonomous Vehicles
CN106170370A,The robotic vehicle remotely controlled,Autonomous Vehicles
EP2869688A4,Modular robotic vehicle,Autonomous Vehicles
EP2966528A1,Self-mobile robot laser-guided travel operating system and control method therefor,Autonomous Vehicles
WO2017085132A1,Robotic agricultural vehicle with safety measures,Autonomous Vehicles
WO2017077073A1,"A facility, an unmanned vehicle and method for processing of dirty surgical instruments",Autonomous Vehicles
WO2017057528A1,"Non-robot car, robot car, road traffic system, vehicle sharing system, robot car training system, and robot car training method",Autonomous Vehicles
WO2017036640A1,Method and device for conducting a driverless motor vehicle in a car park,Autonomous Vehicles
WO2017025032A1,A self-movable cleaning robot,Autonomous Vehicles
WO2017024677A1,Automatic charging device and charging method for all-electric unmanned automatic guided vehicle at automated container terminal,Autonomous Vehicles
WO2016207627A3,Robotic vehicle,Autonomous Vehicles
WO2017013840A1,"Unmanned flight vehicle, flight control method, flight basic program, and forced movement program",Autonomous Vehicles
WO2017010698A1,Heaving line launching system for recovering unmanned surface vehicle,Autonomous Vehicles
WO2017002093A1,Robot vehicle and method using a robot for an automatic treatment of vegetable organisms,Autonomous Vehicles
WO2016201670A1,Method and apparatus for representing map element and method and apparatus for locating vehicle/robot,Autonomous Vehicles
WO2016186383A1,Artificial intelligence (ai) unmanned smart car and method of operating same,Autonomous Vehicles
WO2016186382A1,Unmanned smart car design/printing apparatus and method of operating same,Autonomous Vehicles
WO2016186381A1,Method and apparatus for operating unmanned smart car using biometric signal analysis,Autonomous Vehicles
WO2016186380A1,Unmanned smart car capable of rescue and method of operating same,Autonomous Vehicles
WO2016186379A1,Parking lot operating apparatus and method for unmanned smart cars,Autonomous Vehicles
WO2016185185A1,Adjusting the buoyancy of unmanned underwater vehicles,Autonomous Vehicles
WO2016165721A1,Robotic cart pulling vehicle for automated pulling of carts,Autonomous Vehicles
WO2016145544A1,Device and method for assisting the robotic navigation of a vehicle in a noisy environment,Autonomous Vehicles
WO2016087998A3,All wheel drive robotic vehicle with steering brake,Autonomous Vehicles
CN106794874A,Method and monitoring system for running the unpiloted motor vehicle of automatic guiding,Autonomous Vehicles
WO2015199789A3,Optical based pose detection for multiple unmanned underwater vehicles,Autonomous Vehicles
CN106537273A,Driverless transport vehicle and method for operating a driverless transport vehicle,Autonomous Vehicles
WO2016010288A1,Method for calibrating odometry error of car-type mobile robot using heading angle error,Autonomous Vehicles
CN106781648A,The parking stall planning system and method for automatic driving vehicle,Autonomous Vehicles
CN106774366A,A kind of bionical unmanned vehicle control and its control method,Autonomous Vehicles
CN106774343A,A kind of pilotless automobile transported for wounded's rescue,Autonomous Vehicles
CN106774306A,"It is applied to startup detection method, device and the system of automatic driving vehicle",Autonomous Vehicles
CN106773647A,"A kind of PID control method, control system and automatic guided vehicle",Autonomous Vehicles
CN106772631A,Fruit tree for unmanned vehicle operation in orchard recognizes preventing collision method,Autonomous Vehicles
CN106772434A,A kind of unmanned vehicle obstacle detection method based on TegraX1 radar datas,Autonomous Vehicles
CN106772313A,A kind of convenient dismounting and the pilotless automobile laser range finder installed,Autonomous Vehicles
CN106769085A,Automatic driving vehicle avoids the method for testing and checkout area of dynamic barrier ability,Autonomous Vehicles
CN106769080A,Method and apparatus for measuring the traveling precision of automatic driving vehicle,Autonomous Vehicles
CN106767853A,A kind of automatic driving vehicle high-precision locating method based on Multi-information acquisition,Autonomous Vehicles
CN106767834A,A kind of AUV underwater terrain matching critical subset segmentation methods based on fuzzy entropy,Autonomous Vehicles
CN106767793A,A kind of AUV underwater navigation localization methods based on SINS/USBL tight integrations,Autonomous Vehicles
CN106764786A,A kind of headlight for vehicles of the anti-misty rain of pilotless automobile,Autonomous Vehicles
CN106741754A,A kind of UUV crutches formula reclaims docking system and reclaims docking calculation,Autonomous Vehicles
CN106741299A,A kind of merchandising machine people's body structure based on Mecanum wheel,Autonomous Vehicles
CN106740916A,It is a kind of can active steering from traveling transport vehicle for steel coils,Autonomous Vehicles
CN106740858A,Pavement behavior induction installation and method and its pilotless automobile,Autonomous Vehicles
CN106740788A,A kind of method of low-cost unmanned vehicle brake hard,Autonomous Vehicles
CN106740700A,A kind of pilotless automobile wiper,Autonomous Vehicles
CN106740649A,A kind of pilotless automobile safety belt of anti-rock,Autonomous Vehicles
CN106740603A,A kind of Chinese herbaceous peony bumper for pilotless automobile,Autonomous Vehicles
CN106740526A,A kind of pilotless automobile navigator support of angle adjustable,Autonomous Vehicles
CN106740485A,A kind of pilotless automobile rearview mirror,Autonomous Vehicles
CN106740346A,A kind of concealed pilotless automobile desk,Autonomous Vehicles
CN106740328A,A kind of headrest of pilotless automobile,Autonomous Vehicles
CN106737561A,A kind of automatic driving car and method with intelligent communication,Autonomous Vehicles
CN106737558A,A kind of carborne transportation robot,Autonomous Vehicles
CN106737551A,A kind of automatic installation bolt robot of automobile chassis,Autonomous Vehicles
CN106737092A,A kind of pilotless automobile shell polissoir,Autonomous Vehicles
CN106736125A,Suspension type for vehicle seat solid welding robot,Autonomous Vehicles
CN106736054A,A kind of electronic suspension robot welding auxiliary table,Autonomous Vehicles
CN106734830A,A kind of efficient riveting set of pilotless automobile parts,Autonomous Vehicles
CN106730891A,A kind of telecar Unmanned Systems,Autonomous Vehicles
CN106724134A,A kind of pilotless automobile storage wine cabinet,Autonomous Vehicles
CN106710028A,Method and device for testing waking time consumption of unmanned vehicles,Autonomous Vehicles
CN106706341A,Autonomous vehicle lane changing ability test method and test field,Autonomous Vehicles
CN106706334A,Test method and test field for capacity of autonomous driving vehicle in avoiding approaching vehicle,Autonomous Vehicles
CN106705975A,Method for planning route of unmanned surface vehicle based on universal gravitation search,Autonomous Vehicles
CN106696914A,Intelligent automobile tire cleaning robot,Autonomous Vehicles
CN106693802A,Preparation device of cutting liquid for part and component processing of driverless automobile,Autonomous Vehicles
CN106690418A,Ashtray for pilotless automobile,Autonomous Vehicles
CN106687352A,Lead rail vehicle with drone vehicle and method,Autonomous Vehicles
CN106677000A,Special magnet-steel sheet strip route for driverless vehicles,Autonomous Vehicles
CN106671982A,Multi-intelligent agent based unmanned electric car automatic overtaking system and method,Autonomous Vehicles
CN106647738A,"Method and system for determining docking path of automated guided vehicle, and automated guided vehicle",Autonomous Vehicles
CN106644388A,Unmanned underwater vehicle folding swim bladder deepwater floating-upward test device and method,Autonomous Vehicles
CN106627613A,Electrified railway unmanned inspection vehicle,Autonomous Vehicles
CN106627512A,Full-automatic battery changing robot for electric automobile,Autonomous Vehicles
CN106627510A,Intelligent automobile hub cleaning robot,Autonomous Vehicles
CN106627356A,Warning robot capable of achieving automatic storage and automobile with same,Autonomous Vehicles
CN106625717A,Numerical control scanning type robot for automobile noise source recognition,Autonomous Vehicles
CN106624507A,Automotive front subframe welding robot with improved pedestal,Autonomous Vehicles
CN106601003A,Separated warning system and separated warning method for driverless cars,Autonomous Vehicles
US9666069B2,Autonomous vehicle handling and performance adjustment,Autonomous Vehicles
US9665100B2,Sparse map for autonomous vehicle navigation,Autonomous Vehicles
US9663118B1,Autonomous vehicle operator performance tracking,Autonomous Vehicles
US9654738B1,Using multiple exposures to improve image processing for autonomous vehicles,Autonomous Vehicles
US9645578B2,Direct methods for dense parking of autonomous vehicles,Autonomous Vehicles
US9635346B2,"Autonomous vehicle, and object recognizing method in autonomous vehicle",Autonomous Vehicles
US9630644B2,Method and system for stowing steering column in an autonomous vehicle,Autonomous Vehicles
WO2017079349A1,System for implementing an active safety system in an autonomous vehicle,Autonomous Vehicles
US9630616B2,Method for controlling an autonomous vehicle system and motor vehicle,Autonomous Vehicles
US9625911B2,System and method for avoiding obstacle for autonomous vehicle,Autonomous Vehicles
US20170106905A1,Lane changing apparatus and method of autonomous vehicle,Autonomous Vehicles
US9625597B2,Acoustic modem-based guiding method for autonomous underwater vehicle for marine seismic surveys,Autonomous Vehicles
US9615497B2,Modular autonomous farm vehicle,Autonomous Vehicles
US9613386B1,Pickup and drop off zones for autonomous vehicles,Autonomous Vehicles
US9612597B2,Apparatus for controlling autonomously navigating utility vehicle,Autonomous Vehicles
US9610949B2,Individual driving preference adapted computerized assist or autonomous driving of vehicles,Autonomous Vehicles
US9604642B2,Positioning autonomous vehicles based on field of view,Autonomous Vehicles
US9603300B2,Autonomous gardening vehicle with camera,Autonomous Vehicles
US9594379B1,Detecting sensor degradation by actively controlling an autonomous vehicle,Autonomous Vehicles
US9587952B1,Altering autonomous or semi-autonomous vehicle operation based on route traversal values,Autonomous Vehicles
US9586585B2,Autonomous vehicle detection of and response to traffic officer presence,Autonomous Vehicles
US9582004B2,"Apparatus and method for prediction of time available for autonomous driving, in a vehicle having autonomous driving capabilities",Autonomous Vehicles
US9582003B1,Method for maintaining active control of an autonomous vehicle,Autonomous Vehicles
US20170075356A1,Classifying objects detected by 3d sensors for autonomous vehicle operation,Autonomous Vehicles
US9576083B2,Automatic driver modeling for integration of human-controlled vehicles into an autonomous vehicle network,Autonomous Vehicles
US9568915B1,System and method for controlling autonomous or semi-autonomous vehicle,Autonomous Vehicles
US9567007B2,Identifying cost-effective parking for an autonomous vehicle,Autonomous Vehicles
US9566983B2,"Control arrangement arranged to control an autonomous vehicle, autonomous drive arrangement, vehicle and method",Autonomous Vehicles
US9562777B2,Autonomous vehicle assistance device,Autonomous Vehicles
US9561905B2,Autonomous transport vehicle,Autonomous Vehicles
US9558413B2,Bus detection for an autonomous vehicle,Autonomous Vehicles
US9557183B1,Backend system for route planning of autonomous vehicles,Autonomous Vehicles
US9555740B1,Cross-validating sensors of an autonomous vehicle,Autonomous Vehicles
US9552735B2,Autonomous vehicle identification,Autonomous Vehicles
US9551992B1,Fall back trajectory systems for autonomous vehicles,Autonomous Vehicles
EP3146399A1,Autonomous vehicles,Autonomous Vehicles
EP2839353B1,System of autonomous vehicles,Autonomous Vehicles
US9541409B2,Marker aided autonomous vehicle localization,Autonomous Vehicles
US9539961B2,System and method for vehicle autonomous emergency braking,Autonomous Vehicles
US9535423B1,Autonomous vehicle with improved visual detection ability,Autonomous Vehicles
US9535422B2,Method for controlling the path of an autonomous vehicle having steered wheels,Autonomous Vehicles
US20170122766A1,Determining and displaying autodrive lanes in an autonomous vehicle,Autonomous Vehicles
US9534910B2,Autonomous vehicle detection of and response to yield scenarios,Autonomous Vehicles
US20170123433A1,Celestial navigation system for an autonomous vehicle,Autonomous Vehicles
